timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,ozone
1509678000,Foggy,fog,0,0,46.59,46.59,45.83,0.97,1017.49,1.3,166,0.98,1.91,
1509681600,Foggy,fog,0,0,46.26,46.26,45.31,0.96,1017.46,2.14,117,0.9,1.94,
1509685200,Overcast,cloudy,0,0,46.5,46.5,45.65,0.97,1017.28,1.58,134,0.98,2.25,
1509688800,Foggy,fog,0,0,46.83,46.83,45.98,0.97,1016.99,2.4,118,0.98,1.93,
1509692400,Overcast,cloudy,0.0007,0.07,rain,46.6,45.2,46.21,0.99,1017.13,3.68,117,0.98,2.1,
1509696000,Mostly Cloudy,partly-cloudy-day,0,0,48.9,47.39,48.03,0.97,1017.29,4.29,119,0.93,3.11,
1509699600,Overcast,cloudy,0,0,51.85,51.85,48.2,0.87,1017.04,5.13,137,0.94,5.63,
1509703200,Overcast,cloudy,0,0,54.73,54.73,47.47,0.76,1016.86,4.6,141,0.98,6.34,
1509706800,Overcast,cloudy,0,0,56.04,56.04,47.18,0.72,1016.43,4.36,147,0.98,7.11,
1509710400,Mostly Cloudy,partly-cloudy-day,0,0,56.97,56.97,46.36,0.68,1015.78,4.82,139,0.92,7.6,
1509714000,Overcast,cloudy,0,0,57.26,57.26,45.72,0.65,1015.13,3.67,141,0.94,9.11,
1509717600,Mostly Cloudy,partly-cloudy-day,0,0,57.02,57.02,46.37,0.68,1014.72,4.63,141,0.81,9.03,
1509721200,Mostly Cloudy,partly-cloudy-day,0,0,55.39,55.39,45.96,0.7,1014.4,3.14,137,0.73,9.3,
1509724800,Mostly Cloudy,partly-cloudy-day,0,0,51.71,51.71,44.83,0.77,1014.18,3.66,124,0.74,9.39,
1509728400,Mostly Cloudy,partly-cloudy-night,0,0,48.98,47.65,44.02,0.83,1014.24,4.06,111,0.76,8.5,
1509732000,Mostly Cloudy,partly-cloudy-night,0,0,46.17,46.17,42.83,0.88,1014.1,2.95,116,0.67,7.78,
1509735600,Partly Cloudy,partly-cloudy-night,0,0,45.2,45.2,42.66,0.91,1014,2.6,113,0.32,7.34,
1509739200,Partly Cloudy,partly-cloudy-night,0,0,45.22,44.02,42.31,0.89,1013.84,3.25,109,0.41,6.64,
1509742800,Partly Cloudy,partly-cloudy-night,0,0,45.19,45.19,42.28,0.89,1013.51,2.77,123,0.41,6.14,
1509746400,Partly Cloudy,partly-cloudy-night,0,0,45.05,43.56,42.86,0.92,1012.94,3.54,117,0.35,6.01,
1509750000,Partly Cloudy,partly-cloudy-night,0,0,45.27,45.27,43.08,0.92,1012.6,2.4,123,0.43,5.04,
1509753600,Partly Cloudy,partly-cloudy-night,0,0,45.67,44.19,43.76,0.93,1012.1,3.61,114,0.3,5.26,
1509757200,Partly Cloudy,partly-cloudy-night,0,0,45.06,43.08,43.17,0.93,1011.52,4.1,118,0.34,4.54,
1509760800,Partly Cloudy,partly-cloudy-night,0,0,45.1,42.37,43.25,0.93,1010.98,5.14,120,0.29,4.83,
1509764400,Partly Cloudy,partly-cloudy-night,0,0,44.46,41.5,42.42,0.92,1010.24,5.3,124,0.25,4.36,
1509768000,Clear,clear-night,0,0,44.23,41.54,42.99,0.95,1009.84,4.86,136,0.12,4.21,
1509771600,Clear,clear-night,0,0,44.62,41.34,43.33,0.95,1009.42,5.87,142,0.18,4.09,
1509775200,Partly Cloudy,partly-cloudy-night,0,0,45.6,43.5,44.34,0.95,1009.18,4.37,157,0.33,4.29,
1509778800,Mostly Cloudy,partly-cloudy-day,0,0,47.61,45.05,45.96,0.94,1009.24,5.6,175,0.83,5.06,
1509782400,Mostly Cloudy,partly-cloudy-day,0,0,50.08,50.08,47.99,0.92,1009.26,7.53,174,0.89,4.63,
1509786000,Overcast,cloudy,0,0,53.56,53.56,50.48,0.89,1008.9,11.17,187,0.96,5.92,
1509789600,Overcast,cloudy,0.0021,0.07,rain,55.82,55.82,50.97,0.84,1008.57,13.93,197,0.96,6.77,
1509793200,Overcast,cloudy,0.0023,0.11,rain,57.61,57.61,52.25,0.82,1008.05,14.61,199,0.96,6.39,
1509796800,Overcast,cloudy,0,0,59.92,59.92,52.47,0.76,1007.49,14.75,207,0.96,7.03,
1509800400,Overcast,cloudy,0.0007,0.07,rain,59.87,59.87,52.79,0.77,1007.05,14.78,216,0.98,7.02,
1509804000,Overcast,cloudy,0.004,0.13,rain,59.49,59.49,52.62,0.78,1007.02,12.94,223,0.95,7.54,
1509807600,Overcast,cloudy,0,0,57.72,57.72,51.76,0.81,1007.22,11.22,227,0.98,7.79,
1509811200,Mostly Cloudy,partly-cloudy-day,0.0014,0.14,rain,56.71,56.71,51.55,0.83,1007.25,8.59,222,0.93,7.28,
1509814800,Overcast,cloudy,0.0178,0.11,rain,57.03,57.03,52.32,0.84,1007.55,7.92,229,0.95,7.39,
1509818400,Overcast,cloudy,0,0,56.19,56.19,51.95,0.86,1007.86,7.79,241,0.97,7.31,
1509822000,Overcast,cloudy,0.0123,0.34,rain,54.53,54.53,52.23,0.92,1007.95,6.49,244,0.95,7.46,
1509825600,Overcast,cloudy,0.0175,0.47,rain,53.81,53.81,52.09,0.94,1008.24,5.8,247,0.97,7.49,
1509829200,Overcast,cloudy,0.0096,0.05,rain,53.4,53.4,51.33,0.93,1008.34,5.97,257,0.98,6.75,
1509832800,Overcast,cloudy,0.0034,0.18,rain,52.84,52.84,50.98,0.93,1007.98,5.61,262,0.98,6.47,
1509836400,Overcast,cloudy,0.0048,0.2,rain,51.39,51.39,49.04,0.92,1008.16,7.46,272,0.98,6.63,
1509840000,Overcast,cloudy,0,0,50.15,50.15,48.2,0.93,1008.3,7.23,281,1,6.63,
1509843600,Overcast,cloudy,0.0071,0.32,rain,48.49,44.25,46.07,0.91,1008.46,9.74,288,0.94,6.55,
1509847200,Overcast,cloudy,0.0226,0.69,rain,47.35,43.23,45.62,0.94,1008.89,8.73,288,0.98,6.69,
1509850800,Mostly Cloudy,partly-cloudy-night,0,0,46.94,43.67,45.23,0.94,1008.98,6.65,289,0.69,7.26,
1509854400,Mostly Cloudy,partly-cloudy-night,0.0143,0.65,rain,45.97,42.46,44.45,0.94,1009.59,6.75,270,0.88,7,
1509858000,Mostly Cloudy,partly-cloudy-night,0.0088,0.54,rain,45,41.02,43.22,0.93,1009.9,7.3,267,0.86,7.55,
1509861600,Mostly Cloudy,partly-cloudy-night,0,0,44.44,39.65,42.63,0.93,1010.51,8.77,269,0.73,8.41,
1509865200,Mostly Cloudy,partly-cloudy-day,0,0,43.73,38.89,42.06,0.94,1011.31,8.52,270,0.78,7.1,
1509868800,Mostly Cloudy,partly-cloudy-day,0.0017,0.17,rain,44.67,39.44,42.37,0.92,1012.02,9.98,273,0.88,7.33,
1509872400,Mostly Cloudy,partly-cloudy-day,0,0,45.64,40.38,42.16,0.88,1012.82,10.7,277,0.88,7.43,
1509876000,Overcast,cloudy,0,0,46.38,41.75,42.11,0.85,1013.57,9.47,276,0.98,7.43,
1509879600,Mostly Cloudy,partly-cloudy-day,0.003,0.3,rain,47.3,42.69,41.42,0.8,1014.08,10,284,0.93,7.59,
1509883200,Mostly Cloudy,partly-cloudy-day,0,0,47.52,42.52,40.74,0.77,1014.36,11.31,286,0.93,7.21,
1509886800,Mostly Cloudy,partly-cloudy-day,0.0016,0.16,rain,48.4,43.58,39.02,0.7,1014.6,11.47,293,0.82,7.23,
1509890400,Mostly Cloudy,partly-cloudy-day,0.01,0.5,rain,47.36,43,38.57,0.71,1014.95,9.37,287,0.83,6.97,
1509894000,Partly Cloudy,partly-cloudy-day,0.0005,0.05,rain,46.06,42.39,38.57,0.75,1015.44,7.1,279,0.52,7.56,
1509897600,Partly Cloudy,partly-cloudy-day,0,0,44,41.22,37.81,0.79,1016.27,4.93,283,0.41,8.81,
1509901200,Clear,clear-night,0,0,41.44,38.69,37.25,0.85,1017.1,4.34,289,0.16,8.88,
1509904800,Partly Cloudy,partly-cloudy-night,0,0,38.67,36.28,35.9,0.9,1017.86,3.51,275,0.37,7.25,
1509908400,Partly Cloudy,partly-cloudy-night,0,0,37.44,33.56,34.97,0.91,1018.48,4.9,278,0.46,6.76,
1509912000,Partly Cloudy,partly-cloudy-night,0.0015,0.1,rain,36.44,33.92,34.85,0.94,1019.03,3.34,292,0.47,8.09,
1509915600,Partly Cloudy,partly-cloudy-night,0,0,36.2,36.2,34.82,0.95,1019.65,2.87,285,0.38,7.52,
1509919200,Clear,clear-night,0,0,35.29,32.24,34.21,0.96,1020.13,3.66,289,0.15,5.36,
1509922800,Clear,clear-night,0,0,34.88,31.71,33.39,0.94,1020.55,3.72,294,0.16,6,
1509926400,Mostly Cloudy,partly-cloudy-night,0,0,35.78,31.34,34.89,0.97,1020.92,5.21,302,0.61,7.33,
1509930000,Clear,clear-night,0,0,35.27,31.62,34.28,0.96,1021.19,4.23,297,0,7.23,
1509933600,Partly Cloudy,partly-cloudy-night,0.0005,0.05,rain,35.25,31.98,34.51,0.97,1021.6,3.85,308,0.31,6.34,
1509937200,Partly Cloudy,partly-cloudy-night,0,0,34.7,32.08,33.61,0.96,1021.86,3.23,299,0.47,5.96,
1509940800,Mostly Cloudy,partly-cloudy-night,0,0,34.74,30.96,34.18,0.98,1022.42,4.28,307,0.64,5.52,
1509944400,Mostly Cloudy,partly-cloudy-night,0.001,0.1,rain,36.49,31.82,35.65,0.97,1022.88,5.67,324,0.78,6.11,
1509948000,Mostly Cloudy,partly-cloudy-night,0,0,36.69,32.21,35.64,0.96,1023.52,5.48,329,0.87,6.08,
1509951600,Mostly Cloudy,partly-cloudy-day,0.0017,0.12,rain,36.9,32.08,35.77,0.96,1024.3,5.98,338,0.8,5.75,
1509955200,Mostly Cloudy,partly-cloudy-day,0,0,39.21,34.6,37.67,0.94,1024.94,6.34,335,0.69,7.49,
1509958800,Mostly Cloudy,partly-cloudy-day,0,0,43.09,39.14,39.8,0.88,1025.3,6.52,348,0.62,7.34,
1509962400,Mostly Cloudy,partly-cloudy-day,0,0,45.75,41.98,40.67,0.82,1025.59,7.18,347,0.7,7.54,
